market_id,created_at,actual_delivery_time,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_store_to_consumer_driving_duration
1.0,2015-02-06 22:24:17,2015-02-06 23:11:17,4,1.0,4,3441,4,557,1239,33.0,14.0,21.0,861.0
2.0,2015-02-10 21:49:25,2015-02-10 22:33:25,46,2.0,1,1900,1,1400,1400,1.0,2.0,2.0,690.0
2.0,2015-02-16 00:11:35,2015-02-16 01:06:35,36,3.0,4,4771,3,820,1604,8.0,6.0,18.0,289.0
1.0,2015-02-12 03:36:46,2015-02-12 04:35:46,38,1.0,1,1525,1,1525,1525,5.0,6.0,8.0,795.0
1.0,2015-01-27 02:12:36,2015-01-27 02:58:36,38,1.0,2,3620,2,1425,2195,5.0,5.0,7.0,205.0
1.0,2015-02-06 00:42:42,2015-02-06 01:38:42,38,1.0,3,4475,3,925,1825,4.0,1.0,1.0,542.0
1.0,2015-02-08 02:04:17,2015-02-08 03:07:17,38,1.0,3,4375,3,1325,1625,6.0,4.0,3.0,789.0
1.0,2015-01-31 04:35:54,2015-01-31 05:33:54,38,1.0,2,3150,2,1425,1725,4.0,9.0,12.0,548.0
1.0,2015-01-31 02:21:23,2015-01-31 02:58:23,46,1.0,2,950,2,150,700,24.0,24.0,26.0,212.0
1.0,2015-01-31 23:45:12,2015-02-01 00:26:12,46,1.0,5,1285,3,150,400,12.0,13.0,11.0,424.0
1.0,2015-02-17 03:13:20,2015-02-17 04:08:20,38,1.0,4,5800,4,700,2000,19.0,19.0,30.0,344.0
1.0,2015-02-15 01:26:20,2015-02-15 02:11:20,38,1.0,2,2800,2,1200,1600,21.0,17.0,16.0,421.0
1.0,2015-02-02 05:27:49,2015-02-02 06:54:49,38,1.0,7,14900,5,1200,3900,8.0,11.0,11.0,901.0
1.0,2015-02-16 02:21:20,2015-02-16 03:28:20,38,1.0,3,3400,3,1400,2100,22.0,21.0,39.0,501.0
1.0,2015-02-13 01:01:58,2015-02-13 01:44:58,38,1.0,3,3800,3,700,1600,16.0,9.0,7.0,344.0
1.0,2015-01-24 02:01:20,2015-01-24 02:43:20,38,1.0,1,1800,1,1800,1800,27.0,25.0,24.0,424.0
1.0,2015-02-10 04:36:39,2015-02-10 05:34:39,38,1.0,4,5800,4,700,2000,13.0,16.0,27.0,344.0
